Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1765558087336,3204,3204,3204,3204,3204,3204,3204,3204,100,NaN,50,NaN,0,0,0,0,6.424369812011719,17179869184,0,9785081856,0
205,1765558087336,3204,3204,3204,3204,3204,3204,3204,3204,0,0,NaN,100,NaN,NaN,0,NaN,6.424369812011719,17179869184,0,9785327616,0
204,1765558087541,3204,3204,3204,3204,3204,3204,3204,3204,75,71.42857360839844,57.142860412597656,71.42857360839844,57.142860412597656,35,23.809524536132813,50,6.604959487915039,17179869184,0,9840820224,0
201,1765558087746,3204,3204,3204,3204,3204,3204,3204,3204,70,68.42105102539063,68.42105102539063,70,50,33.333335876464844,25,28.571430206298828,6.604959487915039,17179869184,0,9840820224,0
201,1765558087948,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,40,45,40,45,15.000000953674316,14.285715103149414,0,6.604959487915039,17179869184,0,9994518528,0
202,1765558088150,3204,3204,3204,3204,3204,3204,3204,3204,50,57.142860412597656,40,50,14.285715103149414,5,0,0,6.604959487915039,17179869184,0,10002497536,0
201,1765558088352,3204,3204,3204,3204,3204,3204,3204,3204,65,55,55,50,0,0,0,4.761904716491699,6.604959487915039,17179869184,0,10010771456,0
203,1765558088554,3204,3204,3204,3204,3204,3204,3204,3204,47.36842346191406,55,52.38095474243164,52.6315803527832,9.523809432983398,0,5,0,7.00242805480957,17179869184,0,10033692672,0
204,1765558088757,3204,3204,3204,3204,3204,3204,3204,3204,35,50,40,31.57894515991211,5,10,0,4.761904716491699,7.00242805480957,17179869184,0,10033692672,0
203,1765558088962,3204,3204,3204,3204,3204,3204,3204,3204,50,40,40,52.38095474243164,4.761904716491699,0,0,0,7.00242805480957,17179869184,0,9961717760,0
201,1765558089166,3204,3204,3204,3204,3204,3204,3204,3204,50,40,42.85714340209961,57.142860412597656,5,0,0,0,7.00242805480957,17179869184,0,9962405888,0
204,1765558089368,3204,3204,3204,3204,3204,3204,3204,3204,36.842105865478516,45,36.842105865478516,42.105262756347656,0,0,0,0,7.00242805480957,17179869184,0,9962405888,0
204,1765558089573,3204,3204,3204,3204,3204,3204,3204,3204,55,57.142860412597656,47.619049072265625,52.38095474243164,0,0,0,0,9.884902954101563,17179869184,0,9962405888,0
203,1765558089777,3204,3204,3204,3204,3204,3204,3204,3204,40,57.142860412597656,40,45,0,0,0,0,9.884902954101563,17179869184,0,9962405888,0
201,1765558089981,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,47.36842346191406,50,45,0,0,0,0,9.884902954101563,17179869184,0,9938141184,0
204,1765558090183,3204,3204,3204,3204,3204,3204,3204,3204,55,55,40,38.095237731933594,20,25,20,5.555555820465088,9.884902954101563,17179869184,0,9933520896,0
203,1765558090388,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,45,38.095237731933594,35,19.047618865966797,10,4.761904716491699,4.761904716491699,9.884902954101563,17179869184,0,9933520896,0
204,1765558090592,3204,3204,3204,3204,3204,3204,3204,3204,42.105262756347656,52.38095474243164,31.57894515991211,38.095237731933594,10,9.523809432983398,10,0,7.352685928344727,17179869184,0,9933520896,0
204,1765558090797,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,50,47.619049072265625,36.842105865478516,5,4.761904716491699,4.545454502105713,0,7.352685928344727,17179869184,0,9933520896,0
204,1765558091001,3204,3204,3204,3204,3204,3204,3204,3204,55,45,65,45,14.285715103149414,15.789472579956055,0,9.523809432983398,7.352685928344727,17179869184,0,10014343168,0
204,1765558091206,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,47.619049072265625,57.142860412597656,47.619049072265625,19.047618865966797,4.761904716491699,4.761904716491699,0,7.352685928344727,17179869184,0,10000973824,0
201,1765558091411,3204,3204,3204,3204,3204,3204,3204,3204,45,60.000003814697266,45,55,15.789472579956055,9.523809432983398,4.761904716491699,0,7.352685928344727,17179869184,0,9989586944,0
204,1765558091613,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,45,38.095237731933594,35,5,5,0,4.761904716491699,7.830150604248047,17179869184,0,9989603328,0
204,1765558091818,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,45,42.105262756347656,30.000001907348633,0,0,0,0,7.830150604248047,17179869184,0,9989931008,0
202,1765558092023,3204,3204,3204,3204,3204,3204,3204,3204,50,61.904762268066406,54.54545593261719,42.85714340209961,15.000000953674316,0,9.523809432983398,0,7.830150604248047,17179869184,0,9988079616,0
202,1765558092226,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,42.105262756347656,38.88888931274414,40,14.285715103149414,5,0,0,7.830150604248047,17179869184,0,9990307840,0
200,1765558092428,3204,3204,3204,3204,3204,3204,3204,3204,40,42.85714340209961,50,25,20,23.809524536132813,0,0,8.084379196166992,17179869184,0,9987227648,0
199,1765558092629,3204,3204,3204,3204,3204,3204,3204,3204,52.6315803527832,47.36842346191406,33.333335876464844,36.842105865478516,55,52.6315803527832,9.523809432983398,5,8.084379196166992,17179869184,0,9984376832,0
201,1765558092829,3204,3204,3204,3204,3204,3204,3204,3204,55,55,50,33.333335876464844,55,55,5,4.761904716491699,8.084379196166992,17179869184,0,9984376832,0
204,1765558093031,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,55,50,50,55,52.38095474243164,5.263157844543457,5,8.084379196166992,17179869184,0,9989013504,0
203,1765558093236,3204,3204,3204,3204,3204,3204,3204,3204,52.6315803527832,50,42.105262756347656,40,55,50,0,0,8.084379196166992,17179869184,0,9992077312,0
204,1765558093440,3204,3204,3204,3204,3204,3204,3204,3204,42.105262756347656,50,50,40,57.142860412597656,55,13.636363983154297,5,7.456151962280273,17179869184,0,9995812864,0
203,1765558093645,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,57.142860412597656,42.105262756347656,52.38095474243164,52.6315803527832,52.38095474243164,0,4.761904716491699,7.456151962280273,17179869184,0,9997156352,0
201,1765558093849,3204,3204,3204,3204,3204,3204,3204,3204,15.789472579956055,36.842105865478516,38.095237731933594,35,27.272727966308594,20,4.545454502105713,0,7.456151962280273,17179869184,0,9996615680,0
204,1765558094052,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,60.000003814697266,21.052631378173828,40,0,0,0,0,7.456151962280273,17179869184,0,9998254080,0
204,1765558094257,3204,3204,3204,3204,3204,3204,3204,3204,50,47.619049072265625,47.619049072265625,35,5,0,0,4.761904716491699,7.456151962280273,17179869184,0,9997615104,0
202,1765558094462,3204,3204,3204,3204,3204,3204,3204,3204,50,55,45,50,10,4.761904716491699,4.761904716491699,0,14.479379653930664,17179869184,0,9989357568,0
202,1765558094665,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,38.095237731933594,33.333335876464844,42.85714340209961,0,0,0,0,14.479379653930664,17179869184,0,9989013504,0
199,1765558094868,3204,3204,3204,3204,3204,3204,3204,3204,50,45,50,55,9.523809432983398,5,0,0,14.479379653930664,17179869184,0,9970991104,0
203,1765558095068,3204,3204,3204,3204,3204,3204,3204,3204,65,50,47.36842346191406,40,9.523809432983398,0,5,0,14.479379653930664,17179869184,0,9970974720,0
203,1765558095272,3204,3204,3204,3204,3204,3204,3204,3204,40,60.000003814697266,45,40,5,4.761904716491699,4.761904716491699,0,14.479379653930664,17179869184,0,9825288192,0
201,1765558095476,3204,3204,3204,3204,3204,3204,3204,3204,35,63.15789031982422,30.000001907348633,30.000001907348633,10,9.523809432983398,0,0,9.546045303344727,17179869184,0,9900376064,0
204,1765558095678,3204,3204,3204,3204,3204,3204,3204,3204,10,9.523809432983398,14.285715103149414,10,0,0,0,0,9.546045303344727,17179869184,0,9902587904,0
200,1765558095883,3204,3204,3204,3204,3204,3204,3204,3204,20,15.000000953674316,14.285715103149414,23.809524536132813,0,0,0,0,9.546045303344727,17179869184,0,9902587904,0
203,1765558096084,3204,3204,3204,3204,3204,3204,3204,3204,45,38.095237731933594,42.105262756347656,42.105262756347656,0,0,0,0,9.546045303344727,17179869184,0,9909616640,0
204,1765558096288,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,45,25,30.000001907348633,0,0,0,0,9.546045303344727,17179869184,0,9902653440,0
204,1765558096493,3204,3204,3204,3204,3204,3204,3204,3204,40,42.85714340209961,38.095237731933594,42.85714340209961,9.523809432983398,0,0,0,7.265342712402344,17179869184,0,9898999808,0
204,1765558096698,3204,3204,3204,3204,3204,3204,3204,3204,20,21.052631378173828,15.000000953674316,19.047618865966797,5,4.761904716491699,0,0,7.265342712402344,17179869184,0,9904881664,0
202,1765558096903,3204,3204,3204,3204,3204,3204,3204,3204,9.523809432983398,9.523809432983398,4.761904716491699,5,0,0,0,0,7.265342712402344,17179869184,0,9902637056,0
