Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764523309831,3204,3204,3204,3204,3204,3204,3204,3204,0,NaN,0,NaN,NaN,0,0,NaN,5.949209690093994,17179869184,0,9479602176,0
204,1764523309831,3204,3204,3204,3204,3204,3204,3204,3204,NaN,0,NaN,0,100,NaN,NaN,50,5.949209690093994,17179869184,0,9480355840,0
201,1764523310036,3204,3204,3204,3204,3204,3204,3204,3204,25,23.809524536132813,19.047618865966797,10,25,36.3636360168457,13.636363983154297,0,5.949209690093994,17179869184,0,9489776640,0
204,1764523310238,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,60.000003814697266,55,55,71.42857360839844,63.15789031982422,55,50,5.949209690093994,17179869184,0,9489776640,0
212,1764523310443,3204,3204,3204,3204,3204,3204,3204,3204,80.95238494873047,85,76.19047546386719,76.19047546386719,85,90.47618865966797,85,76.19047546386719,5.707796096801758,17179869184,0,9647472640,0
201,1764523310658,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,68.18181610107422,71.42857360839844,66.66667175292969,80.95238494873047,71.42857360839844,72.7272720336914,57.142860412597656,5.707796096801758,17179869184,0,9761914880,0
201,1764523310860,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,5.707796096801758,17179869184,0,9774727168,0
204,1764523311062,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,5.707796096801758,17179869184,0,9774727168,0
204,1764523311267,3204,3204,3204,3204,3204,3204,3204,3204,95,90.47618865966797,85,85,95.23809814453125,95.23809814453125,100,100,5.707796096801758,17179869184,0,9774727168,0
204,1764523311472,3204,3204,3204,3204,3204,3204,3204,3204,80.95238494873047,84.21052551269531,75,80.95238494873047,95,90.47618865966797,90,85.71428680419922,5.69711446762085,17179869184,0,10232365056,0
204,1764523311677,3204,3204,3204,3204,3204,3204,3204,3204,70,76.19047546386719,61.904762268066406,60.000003814697266,75,75,90,71.42857360839844,5.69711446762085,17179869184,0,10248994816,0
203,1764523311882,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,71.42857360839844,57.142860412597656,52.38095474243164,68.18181610107422,65,76.19047546386719,70,5.69711446762085,17179869184,0,10248994816,0
