benchmark,phase,iteration,time_ns_per_op
AutenticazioneServiceBenchmark.loginValidCredentials,iter,3,272064.826
AutenticazioneServiceBenchmark.loginValidCredentials,iter,4,53808.064
AutenticazioneServiceBenchmark.loginValidCredentials,iter,5,49821.496
AutenticazioneServiceBenchmark.loginValidCredentials,iter,6,48383.647
AutenticazioneServiceBenchmark.loginValidCredentials,iter,7,60513.441
AutenticazioneServiceBenchmark.loginValidCredentials,iter,8,55736.338
AutenticazioneServiceBenchmark.loginValidCredentials,iter,9,119731.988
AutenticazioneServiceBenchmark.loginValidCredentials,iter,10,261178.024
AutenticazioneServiceBenchmark.loginValidCredentials,iter,11,68790.550
AutenticazioneServiceBenchmark.loginValidCredentials,iter,12,68977.012
AutenticazioneServiceBenchmark.loginValidCredentials,iter,13,57109.364
AutenticazioneServiceBenchmark.loginValidCredentials,iter,14,52478.771
AutenticazioneServiceBenchmark.loginValidCredentials,iter,15,61265.636
AutenticazioneServiceBenchmark.loginValidCredentials,iter,16,202796.342
AutenticazioneServiceBenchmark.loginValidCredentials,iter,17,115835.293
AutenticazioneServiceBenchmark.loginValidCredentials,iter,18,118351.168
AutenticazioneServiceBenchmark.loginValidCredentials,iter,19,106947.864
AutenticazioneServiceBenchmark.loginValidCredentials,iter,20,74745.599

benchmark,mode,count,score_ns_op,error_ns_op,units
AutenticazioneServiceBenchmark.loginInvalidPassword,avgt,20,41642.729,11281.075,ns/op
AutenticazioneServiceBenchmark.loginNonExistentUser,avgt,20,46014.652,20922.810,ns/op
AutenticazioneServiceBenchmark.loginValidCredentials,avgt,20,98860.515,59337.981,ns/op
