Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764525049993,3204,3204,3204,3204,3204,3204,3204,3204,0,0,0,0,0,0,0,0,5.801718711853027,17179869184,0,9606692864,0
204,1764525049994,3204,3204,3204,3204,3204,3204,3204,3204,0,NaN,NaN,0,NaN,NaN,NaN,NaN,5.801718711853027,17179869184,0,9607643136,0
204,1764525050199,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,22.72727394104004,9.523809432983398,9.523809432983398,28.571430206298828,42.85714340209961,9.523809432983398,0,5.801718711853027,17179869184,0,9640820736,0
202,1764525050404,3204,3204,3204,3204,3204,3204,3204,3204,25,25,10,10,10,14.285715103149414,0,4.761904716491699,5.781009197235107,17179869184,0,9640820736,0
202,1764525050606,3204,3204,3204,3204,3204,3204,3204,3204,40,26.3157901763916,28.571430206298828,20,35,47.36842346191406,19.047618865966797,15.000000953674316,5.781009197235107,17179869184,0,9783934976,0
204,1764525050808,3204,3204,3204,3204,3204,3204,3204,3204,75,71.42857360839844,70,65,85,85.71428680419922,80,80.95238494873047,5.781009197235107,17179869184,0,9967599616,0
203,1764525051013,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,76.19047546386719,70,76.19047546386719,60.000003814697266,5.781009197235107,17179869184,0,10120609792,0
205,1764525051217,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,95.23809814453125,100,100,95.23809814453125,5.781009197235107,17179869184,0,10280108032,0
202,1764525051423,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,90,94.73684692382813,90,89.47368621826172,5.9581427574157715,17179869184,0,10427170816,0
202,1764525051625,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,5.9581427574157715,17179869184,0,10706518016,0
