Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764500721743,3204,3204,3204,3204,3204,3204,3204,3204,0,0,0,NaN,NaN,NaN,0,0,20.795480728149414,17179869184,0,8400568320,0
200,1764500721743,3204,3204,3204,3204,3204,3204,3204,3204,NaN,NaN,100,0,NaN,NaN,100,100,20.795480728149414,17179869184,0,8401600512,0
202,1764500721944,3204,3204,3204,3204,3204,3204,3204,3204,38.88888931274414,42.105262756347656,38.88888931274414,36.842105865478516,84.21052551269531,78.94737243652344,78.94737243652344,68.42105102539063,20.795480728149414,17179869184,0,8440774656,0
206,1764500722146,3204,3204,3204,3204,3204,3204,3204,3204,85,78.94737243652344,75,80,100,95.23809814453125,95,94.73684692382813,19.87164306640625,17179869184,0,8585986048,0
200,1764500722355,3204,3204,3204,3204,3204,3204,3204,3204,95.45454406738281,95.45454406738281,100,95.45454406738281,95.23809814453125,100,100,100,19.87164306640625,17179869184,0,8528494592,0
203,1764500722556,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,19.87164306640625,17179869184,0,8809299968,0
200,1764500722759,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,19.87164306640625,17179869184,0,8809299968,0
204,1764500722960,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,95,100,19.87164306640625,17179869184,0,8809299968,0
203,1764500723165,3204,3204,3204,3204,3204,3204,3204,3204,78.94737243652344,78.94737243652344,78.94737243652344,78.94737243652344,95,95,95,95,20.5789852142334,17179869184,0,8809299968,0
204,1764500723368,3204,3204,3204,3204,3204,3204,3204,3204,95,95,90,90.47618865966797,100,100,100,100,20.5789852142334,17179869184,0,8809299968,0
