Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764500583857,3204,3204,3204,3204,3204,3204,3204,3204,100,NaN,0,0,100,100,NaN,100,19.873634338378906,17179869184,0,9425584128,0
201,1764500583858,3204,3204,3204,3204,3204,3204,3204,3204,NaN,0,NaN,NaN,NaN,NaN,0,100,19.873634338378906,17179869184,0,9426632704,0
200,1764500584059,3204,3204,3204,3204,3204,3204,3204,3204,36.842105865478516,31.57894515991211,30.000001907348633,28.571430206298828,90,90,89.47368621826172,84.21052551269531,19.726646423339844,17179869184,0,9453944832,0
200,1764500584260,3204,3204,3204,3204,3204,3204,3204,3204,100,100,95.23809814453125,100,100,100,100,95,19.726646423339844,17179869184,0,9554837504,0
203,1764500584460,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,95,100,95,100,95.23809814453125,100,100,19.726646423339844,17179869184,0,9554837504,0
201,1764500584664,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,95,95,95,100,100,95.45454406738281,100,19.726646423339844,17179869184,0,9554837504,0
202,1764500584866,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,19.726646423339844,17179869184,0,9899819008,0
204,1764500585069,3204,3204,3204,3204,3204,3204,3204,3204,100,95.23809814453125,90.47618865966797,95,89.47368621826172,90.47618865966797,94.73684692382813,84.21052551269531,20.51665687561035,17179869184,0,10051878912,0
204,1764500585274,3204,3204,3204,3204,3204,3204,3204,3204,85.71428680419922,85,85,80,95.23809814453125,94.73684692382813,90,95.23809814453125,20.51665687561035,17179869184,0,10077405184,0
200,1764500585478,3204,3204,3204,3204,3204,3204,3204,3204,80,80,80,75,94.73684692382813,94.73684692382813,94.73684692382813,90,20.51665687561035,17179869184,0,10178822144,0
200,1764500585679,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,63.15789031982422,60.000003814697266,57.894737243652344,95,95,95.23809814453125,95,20.51665687561035,17179869184,0,10177347584,0
203,1764500585879,3204,3204,3204,3204,3204,3204,3204,3204,85,85,83.33332824707031,80,100,100,95,95,20.51665687561035,17179869184,0,10222125056,0
204,1764500586083,3204,3204,3204,3204,3204,3204,3204,3204,65,57.894737243652344,60.000003814697266,60.000003814697266,100,95.23809814453125,100,100,26.15544891357422,17179869184,0,10222501888,0
200,1764500586288,3204,3204,3204,3204,3204,3204,3204,3204,50,50,40,31.57894515991211,95.23809814453125,95,95.23809814453125,90,26.15544891357422,17179869184,0,10191912960,0
199,1764500586488,3204,3204,3204,3204,3204,3204,3204,3204,57.894737243652344,50,47.36842346191406,47.36842346191406,100,83.33332824707031,82.35294342041016,73.68421173095703,26.15544891357422,17179869184,0,10162847744,0
202,1764500586689,3204,3204,3204,3204,3204,3204,3204,3204,22.22222328186035,20,15.789472579956055,5.555555820465088,95,84.21052551269531,78.94737243652344,89.47368621826172,26.15544891357422,17179869184,0,10162847744,0
204,1764500586891,3204,3204,3204,3204,3204,3204,3204,3204,31.57894515991211,16.666667938232422,26.3157901763916,21.052631378173828,84.21052551269531,90,80,84.21052551269531,26.15544891357422,17179869184,0,10166140928,0
