Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764500849831,3204,3204,3204,3204,3204,3204,3204,3204,0,NaN,NaN,0,NaN,NaN,NaN,NaN,20.175514221191406,17179869184,0,8457764864,0
204,1764500849831,3204,3204,3204,3204,3204,3204,3204,3204,NaN,0,0,NaN,NaN,NaN,100,NaN,20.175514221191406,17179869184,0,8458862592,0
201,1764500850036,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,63.15789031982422,60.000003814697266,52.6315803527832,95.23809814453125,95.23809814453125,95,95,20.53814125061035,17179869184,0,8500412416,0
205,1764500850238,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,20.53814125061035,17179869184,0,8666382336,0
205,1764500850443,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,95.23809814453125,100,95,20.53814125061035,17179869184,0,8666382336,0
200,1764500850649,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,20.53814125061035,17179869184,0,8666382336,0
201,1764500850849,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,20.53814125061035,17179869184,0,9197780992,0
200,1764500851051,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,90.47618865966797,94.44444274902344,90,88.8888931274414,20.451093673706055,17179869184,0,9197780992,0
204,1764500851252,3204,3204,3204,3204,3204,3204,3204,3204,100,95.23809814453125,100,100,88.8888931274414,90,84.21052551269531,80,20.451093673706055,17179869184,0,9197780992,0
200,1764500851457,3204,3204,3204,3204,3204,3204,3204,3204,90.47618865966797,90.47618865966797,90,90,95,89.47368621826172,85,89.47368621826172,20.451093673706055,17179869184,0,9197780992,0
199,1764500851658,3204,3204,3204,3204,3204,3204,3204,3204,83.33332824707031,83.33332824707031,80,78.94737243652344,94.73684692382813,95,100,95.23809814453125,20.451093673706055,17179869184,0,9197780992,0
204,1764500851858,3204,3204,3204,3204,3204,3204,3204,3204,55,50,47.36842346191406,50,90,89.47368621826172,84.21052551269531,89.47368621826172,20.451093673706055,17179869184,0,9415376896,0
200,1764500852063,3204,3204,3204,3204,3204,3204,3204,3204,42.105262756347656,36.842105865478516,35,30.000001907348633,94.44444274902344,85,95.23809814453125,90,26.977779388427734,17179869184,0,9397420032,0
199,1764500852263,3204,3204,3204,3204,3204,3204,3204,3204,36.842105865478516,30.000001907348633,26.3157901763916,16.666667938232422,95,94.73684692382813,89.47368621826172,95,26.977779388427734,17179869184,0,9397616640,0
200,1764500852463,3204,3204,3204,3204,3204,3204,3204,3204,27.77777862548828,16.666667938232422,11.111111640930176,11.111111640930176,95,84.21052551269531,83.33332824707031,77.77777862548828,26.977779388427734,17179869184,0,9397174272,0
203,1764500852664,3204,3204,3204,3204,3204,3204,3204,3204,27.77777862548828,22.22222328186035,16.666667938232422,15.789472579956055,89.47368621826172,89.47368621826172,85,80,26.977779388427734,17179869184,0,9411575808,0
203,1764500852868,3204,3204,3204,3204,3204,3204,3204,3204,80.95238494873047,80,80.95238494873047,80,100,100,95,100,26.977779388427734,17179869184,0,9556590592,0
204,1764500853072,3204,3204,3204,3204,3204,3204,3204,3204,50,45,42.105262756347656,40,100,95.23809814453125,100,95,24.051000595092773,17179869184,0,9559310336,0
202,1764500853277,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,57.894737243652344,50,45,95.23809814453125,100,100,100,24.051000595092773,17179869184,0,9627959296,0
201,1764500853480,3204,3204,3204,3204,3204,3204,3204,3204,63.15789031982422,63.15789031982422,55,57.894737243652344,100,95,95.23809814453125,95.23809814453125,24.051000595092773,17179869184,0,9669378048,0
203,1764500853681,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,55,55,50,100,100,100,100,24.051000595092773,17179869184,0,9715908608,0
200,1764500853884,3204,3204,3204,3204,3204,3204,3204,3204,84.21052551269531,80,73.68421173095703,78.94737243652344,84.21052551269531,84.21052551269531,80,73.68421173095703,24.051000595092773,17179869184,0,9751134208,0
