Benchmark,Mode,Cnt,Score,Error,Units
PasswordHashBenchmark.hashLongPassword,avgt,80,664.521,0.712,ns/op
PasswordHashBenchmark.hashMediumPassword,avgt,80,631.010,1.132,ns/op
PasswordHashBenchmark.hashShortPassword,avgt,80,645.071,1.794,ns/op
