Benchmark,Mode,Cnt,Score,Error,Units
SlotServiceBenchmark.slotDisponibiliLongRange,avgt,80,18243927.460,9476342.936,ns/op
SlotServiceBenchmark.slotDisponibiliShortRange,avgt,80,2302530.888,1224404.384,ns/op
SlotServiceBenchmark.slotDisponibiliSingleDay,avgt,80,1026483.566,485724.745,ns/op
