Benchmark,Mode,Cnt,Score,Error,Units
PasswordHashBenchmark.hashLongPassword,avgt,80,992.467,51.265,ns/op
PasswordHashBenchmark.hashMediumPassword,avgt,80,908.282,56.138,ns/op
PasswordHashBenchmark.hashShortPassword,avgt,80,945.935,50.113,ns/op
